Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
8,21,7,1934,AA,ATL,DFW,732,N
4,20,3,1548,US,PIT,MCO,834,N
9,2,5,1422,XE,RDU,CLE,416,N
11,25,6,1015,OO,DEN,MEM,872,N
10,7,6,1828,WN,MDW,OMA,423,Y
8,3,4,1918,NW,MEM,MCO,683,N
1,27,4,754,DL,PBI,LGA,1035,N
4,29,6,635,OH,MSP,CVG,596,N
7,28,5,735,AA,ONT,DFW,1189,N
6,20,2,2029,OO,DEN,PSC,853,N
5,21,6,1736,DL,BDL,CVG,661,N
3,5,7,1205,WN,PHX,STL,1262,N
10,6,4,2124,AS,LAS,SEA,866,N
8,20,6,737,AA,DFW,SJC,1438,N
11,10,4,1447,UA,DEN,SJC,948,N
9,20,2,1642,MQ,DSM,ORD,299,N
9,19,2,1801,CO,CMH,IAH,986,N
7,26,2,620,DL,ORF,ATL,516,N
10,14,5,1704,OO,SLC,SEA,689,Y
10,5,4,1205,US,PHX,CMH,1671,N
8,22,2,1521,AA,CLT,DFW,936,N
6,21,3,1519,EV,ATL,ILM,377,Y
11,26,6,1417,DL,GSO,ATL,306,N
11,9,3,918,DH,IAD,CMH,299,N
12,31,6,1837,DL,ATL,MSP,906,N
4,4,1,635,WN,SMF,PHX,647,N
7,3,7,1350,AA,FLL,LGA,1076,N
4,16,7,1235,WN,DAL,AUS,189,N
5,31,3,1513,MQ,ORD,SYR,607,N
4,18,1,619,AA,ORD,LAX,1745,N
8,30,3,610,YV,ITO,HNL,216,N
5,9,1,1327,AA,DFW,ORF,1213,N
1,20,5,1130,DL,ORD,CVG,264,N
12,3,7,1653,EV,ATL,MYR,317,Y
10,1,6,1454,DL,SLC,PDX,630,N
3,24,4,2303,US,CLT,CHS,168,Y
5,6,5,1728,WN,SAN,SMF,480,Y
5,5,4,650,EV,ROA,ATL,357,N
1,28,5,2046,MQ,LGA,DTW,501,N
7,9,6,747,MQ,ORD,MEM,491,N
9,20,2,707,MQ,SFO,SNA,372,N
7,15,5,1144,F9,DEN,PHL,1557,N
3,17,4,823,DH,GSP,IAD,383,N
4,18,1,1200,WN,SEA,PHX,1107,N
9,8,5,809,DL,DAB,ATL,366,N
11,10,4,1825,WN,SJC,LAX,308,N
3,10,4,742,UA,DFW,ORD,802,N
4,12,2,1913,MQ,LIT,DFW,304,N
10,3,2,716,UA,LAX,SEA,954,N
10,20,5,2312,AQ,OAK,LAS,407,Y
9,9,6,1520,YV,SEA,PHX,1107,Y
2,21,2,555,YV,COS,PHX,551,N
7,24,7,1050,OH,OKC,CVG,756,N
8,14,1,1519,TZ,PHX,OGG,2845,N
2,15,2,1527,MQ,DFW,ABI,158,N
3,17,4,551,UA,GRR,ORD,137,N
7,21,4,1405,HP,SJC,LAS,386,N
12,1,4,1854,B6,JFK,PHX,2153,N
9,5,2,1831,FL,ATL,MSP,906,Y
6,7,3,1020,WN,BOI,SLC,291,N
10,28,5,658,CO,ORD,EWR,719,N
1,18,3,1830,DL,ATL,MEM,332,N
4,19,2,1519,DL,MCI,ATL,692,N
1,27,5,1435,WN,BWI,PVD,328,N
3,26,6,1310,AA,BHM,DFW,597,N
4,29,5,1928,MQ,CRP,DFW,354,N
10,3,2,827,F9,DEN,SFO,967,N
7,22,5,1955,OH,BOS,RDU,612,N
7,25,2,1723,WN,DEN,MDW,895,N
9,4,7,1645,WN,SAT,DAL,248,N
4,8,6,631,XE,PHL,CLE,363,N
6,5,7,1436,US,ORF,PHL,211,N
6,6,2,1932,UA,DEN,DTW,1123,Y
7,2,7,700,NW,MSP,LAS,1300,N
12,10,7,813,WN,DAL,SAT,248,N
12,14,4,1809,WN,STL,SLC,1156,N
12,15,4,1230,WN,BOI,RNO,335,N
10,6,5,2010,OH,LGA,JAX,834,Y
5,15,1,1430,OO,CIC,SFO,153,N
5,2,2,1350,WN,AUS,HRL,273,N
4,27,4,557,AA,LGA,ORD,733,N
11,29,2,610,AA,SLC,ORD,1249,N
1,24,2,1344,XE,IAH,JAN,351,N
6,25,7,555,OO,COD,SLC,298,N
10,22,6,1248,HA,HNL,SMF,2462,N
6,16,4,1345,WN,RNO,PDX,444,Y
10,18,2,1956,AA,ORD,EWR,719,N
3,12,7,1250,MQ,BNA,ORD,409,Y
12,25,7,1020,WN,TPA,ISP,1034,N
2,14,2,907,NW,DFW,DTW,987,N
10,27,4,1907,F9,DEN,DFW,641,N
1,28,5,2135,WN,BNA,TPA,612,N
5,9,1,758,AA,MIA,JFK,1090,N
12,16,6,955,OO,SLC,FCA,532,N
5,29,1,1709,DL,ATL,PIT,526,N
3,13,7,1510,OH,EVV,CVG,170,N
5,10,3,1514,XE,PNS,IAH,489,N
1,1,6,1100,WN,LAS,MDW,1521,N
7,21,4,1046,WN,SAN,SJC,417,Y
1,14,6,937,US,EWR,CLT,529,N
7,16,6,1003,AA,DFW,AUS,190,N
2,3,5,1920,WN,LAX,PHX,370,Y
4,16,7,1913,US,CLT,BUF,546,N
12,24,6,1819,CO,IAH,OKC,395,N
7,26,3,1152,WN,PHL,LAS,2176,N
2,19,7,1011,UA,DEN,IAH,861,N
9,7,4,1922,AS,SEA,ANC,1449,Y
3,11,5,1735,CO,BWI,IAH,1235,N
8,28,1,831,FL,RSW,ATL,515,N
6,4,7,2126,UA,DEN,LAX,862,N
12,13,3,1953,YV,JFK,IAD,228,Y
10,24,2,1557,DL,ATL,SAN,1891,N
3,22,2,605,AS,ANC,BET,399,N
5,8,7,1004,AS,ONT,SEA,956,N
4,25,2,1806,AS,OAK,SEA,671,N
4,14,5,952,US,CLT,FLL,631,N
12,13,3,1547,MQ,LAX,SBA,89,N
10,13,4,1752,OO,MCI,ORD,403,N
12,9,6,945,YV,PHX,GJT,438,N
12,15,4,1241,XE,CRP,IAH,201,Y
8,7,7,1427,OO,SNA,LAX,36,N
9,13,3,1650,WN,AMA,DAL,324,N
3,10,5,848,UA,MSP,DEN,680,N
3,30,4,2120,AA,LAX,MIA,2342,N
4,11,2,805,EV,STL,SLC,1156,N
12,23,6,604,UA,SFO,DEN,967,N
1,31,2,1431,OO,DEN,BZN,525,N
9,16,5,843,AA,ORD,DEN,888,Y
5,23,1,1540,OH,CID,CVG,419,N
11,26,7,646,OO,ORD,FWA,157,N
8,7,7,933,DL,RSW,ATL,515,N
8,17,3,1317,MQ,ORD,SYR,607,N
10,22,7,1417,WN,BWI,BDL,283,N
10,14,5,713,NW,DTW,MCO,957,N
12,28,4,1926,EV,ATL,CLE,554,N
9,4,7,1733,AS,DCA,SEA,2329,N
3,17,5,1657,CO,PHX,IAH,1009,Y
3,4,6,1725,AS,LGB,SEA,965,N
3,4,5,645,MQ,SAN,LAX,109,N
5,26,5,1636,UA,ORD,BDL,783,N
1,2,7,1717,UA,DEN,BOI,649,N
2,24,5,830,UA,ONT,DEN,819,N
1,22,7,1954,DL,ATL,GSO,306,Y
6,10,6,1619,EV,GSP,CVG,317,Y
9,16,5,902,UA,SNA,ORD,1726,N
6,26,7,1440,WN,MAF,DAL,319,N
5,2,1,1142,DL,ATL,GSP,153,N
10,6,4,1340,MQ,CRP,DFW,354,N
2,4,5,1050,WN,LAS,OAK,407,N
6,1,4,1942,DL,ATL,IAD,533,Y
10,29,7,912,NW,MSP,LAX,1536,N
9,11,1,2010,UA,LAX,LAS,236,N
7,13,3,1335,CO,LAS,IAH,1222,Y
4,11,2,1851,OO,DEN,MEM,872,N
5,18,3,1217,NW,DTW,LAN,74,N
7,19,3,2105,TZ,MDW,DFW,797,N
8,26,6,1634,AA,MFE,DFW,468,N
8,22,2,553,YV,BMI,ORD,116,N
7,25,2,1407,F9,MSP,DEN,680,N
6,24,6,626,MQ,SAN,SJC,417,N
4,27,4,2051,OO,ORD,FWA,157,N
10,13,4,1132,AA,MFE,DFW,468,N
10,1,6,1112,AS,PDX,LAS,762,N
11,18,5,1423,OO,LAX,SJC,308,N
10,28,5,1322,DL,ATL,STL,483,Y
6,1,4,650,NW,LAS,MSP,1300,N
4,26,3,1210,OO,IPL,YUM,58,N
8,30,2,1243,MQ,ORD,MKE,67,N
9,22,4,1554,UA,SFO,SAN,447,N
11,18,5,1955,MQ,GRB,MQT,134,N
8,5,5,1929,UA,LAX,SFO,337,N
12,1,4,1913,WN,SJC,ONT,333,N
11,13,1,1528,OO,SLC,SJC,585,N
2,27,7,1827,OO,DEN,ELP,563,N
4,18,1,1117,DL,AUS,ATL,813,N
4,22,6,1438,OH,MCI,MCO,1072,N
4,28,4,2037,AS,SEA,LAX,954,N
6,6,2,1736,OO,FAR,ORD,557,N
4,11,1,1127,HP,LAS,DEN,629,N
12,3,6,1625,XE,IAH,RDU,1043,N
7,19,2,1708,MQ,DFW,LBB,282,N
12,28,4,1753,WN,HOU,JAN,359,Y
6,11,7,1829,OO,MTJ,DEN,197,N
11,11,5,1509,NW,DTW,JAX,814,N
10,8,6,1056,US,CLT,PHL,448,N
6,29,4,2052,XE,DCA,EWR,199,N
6,16,4,1259,DL,SLC,CVG,1449,N
5,22,1,834,DL,ATL,PBI,545,N
9,10,6,1802,NW,BOS,DTW,632,N
7,9,7,2059,B6,JFK,SJU,1597,N
5,25,4,905,YV,DRO,DEN,251,N
5,29,1,1132,US,RDU,PHL,336,N
7,9,6,815,DH,IAD,CHS,441,N
11,3,4,1210,WN,TPA,PVD,1137,N
9,5,2,835,AA,CLT,DFW,936,N
6,17,6,1235,YV,IAD,LGA,229,N
8,4,4,1204,NW,ONT,MSP,1494,N
3,7,2,1545,EV,MLU,ATL,448,N
9,2,5,1202,DL,VPS,ATL,264,N
3,22,3,1412,UA,IAH,DEN,861,N
4,27,4,1825,WN,PHX,SAN,304,N
7,4,2,2042,US,LAS,PDX,762,N
5,24,2,1058,AA,MIA,LGA,1097,Y
7,31,1,1647,AA,ATL,MIA,595,N
6,20,1,920,WN,STL,OKC,462,Y
12,23,5,724,CO,SEA,IAH,1874,N
5,17,3,1252,UA,SAN,IAD,2253,N
9,26,1,2050,NW,MDW,MSP,349,Y
1,12,3,633,DL,BOS,ATL,946,Y
10,14,6,850,AA,TUL,DFW,237,Y
3,14,1,1140,OH,CVG,ACY,542,N
1,8,7,1454,EV,ATL,CAK,528,Y
8,7,1,2037,AA,DFW,PDX,1616,Y
9,18,7,1622,OO,SBA,SLC,615,N
2,10,5,930,YV,PWM,IAD,494,N
5,17,2,615,WN,RNO,SJC,188,N
7,7,4,1124,OO,IDA,SLC,188,N
3,4,6,1127,NW,MCO,DTW,957,N
4,11,2,2141,OO,ORD,MEM,491,Y
4,8,6,725,OH,SAT,CVG,1024,Y
10,7,6,2112,DL,SLC,PDX,630,N
4,5,2,550,WN,PHX,LAS,256,N
7,16,7,1806,DL,ATL,PHL,665,N
3,27,7,1125,WN,ONT,SMF,389,N
3,17,5,1815,NW,PHX,MSP,1276,Y
2,27,1,1915,B6,FLL,JFK,1069,N
4,27,4,750,OO,LAX,ABQ,677,N
5,13,5,1329,DL,ATL,JAX,270,N
12,23,5,1727,OO,ACV,SFO,250,Y
10,1,7,1337,B6,JFK,PBI,1028,Y
4,11,1,1618,DL,ATL,LAX,1946,N
4,29,5,828,NW,CHS,DTW,668,N
7,27,4,1323,WN,PHL,MCO,861,Y
2,23,3,657,DL,STL,ATL,483,N
11,26,6,1024,NW,DTW,LAN,74,N
12,23,5,555,OH,BGM,CVG,506,N
3,11,5,1747,UA,MSY,ORD,837,N
5,4,4,1820,UA,DEN,MSP,680,N
7,13,3,1229,EV,ATL,MSP,906,N
2,20,1,1534,HA,OGG,KOA,84,N
9,10,6,1729,OH,JFK,STL,892,N
11,16,3,1407,AA,LGA,BNA,764,N
7,18,2,1856,UA,DEN,RNO,804,Y
4,13,4,926,MQ,LGA,RDU,431,N
9,28,4,1748,CO,SFO,IAH,1635,N
6,17,5,1425,OH,DSM,CVG,505,N
4,17,7,2029,XE,CLE,BNA,448,N
3,10,5,802,OO,SLC,IDA,188,N
6,2,5,1804,EV,ATL,EVV,350,Y
5,15,7,726,CO,EWR,MCO,938,N
3,28,2,1656,UA,ORD,PIT,412,Y
6,2,4,1653,US,MCI,CLT,809,N
6,3,5,2017,DL,MOB,ATL,302,Y
2,2,4,710,WN,BWI,MCO,787,N
6,24,5,1002,FL,CAK,ATL,528,N
4,12,3,925,DL,ATL,SAT,874,N
3,6,7,1712,NW,MSP,LAS,1300,N
5,21,6,1604,MQ,SAN,SJC,417,N
8,6,7,1917,US,DCA,TPA,814,N
2,21,1,1259,DL,SNA,SLC,588,N
5,6,6,1901,US,RSW,CLT,600,N
4,6,3,621,NW,DCA,DTW,405,N
4,8,5,1046,MQ,LIT,DFW,304,N
1,17,1,645,EV,FAY,ATL,331,N
9,18,7,1641,EV,DSM,ATL,743,N
2,10,5,1453,OO,DEN,ELP,563,N
4,7,4,1525,MQ,LIT,DFW,304,N
6,29,4,1606,XE,SHV,IAH,192,Y
2,1,3,1123,WN,TUS,SAN,367,N
12,31,7,1503,WN,DEN,LAS,629,N
11,21,2,1311,NW,IND,DTW,231,N
5,31,2,959,UA,STL,ORD,258,N
12,15,4,1456,MQ,LAX,SAN,109,N
8,10,3,2255,EV,ATL,LEX,303,N
8,4,5,1445,AQ,HNL,ITO,216,N
11,15,2,705,DH,CAE,IAD,401,N
12,3,7,1507,OO,SLC,RNO,422,N
3,31,5,1311,XE,PHL,CLE,363,N
12,3,7,1220,OH,JFK,BUF,301,N
6,2,4,1710,WN,SLC,BOI,291,N
3,12,6,2022,OO,TUS,LAX,451,N
8,13,7,1808,AA,MCO,DFW,984,Y
7,2,6,1334,NW,MSP,MCO,1310,N
9,5,1,2233,OO,SFO,SBP,191,N
5,6,6,1401,WN,OAK,PDX,543,Y
9,23,6,1906,WN,PVD,TPA,1137,N
5,20,6,1209,AA,ONT,DFW,1189,N
2,27,7,1908,OH,DCA,BOS,399,N
12,26,1,758,AS,SEA,KTN,680,N
11,27,7,831,OO,ORD,SGF,438,N
10,29,7,1715,NW,ROC,DTW,296,N
4,7,5,630,XE,CHS,IAH,925,N
7,10,7,652,XE,CRP,IAH,201,N
8,22,1,638,OO,MFR,SLC,575,N
12,5,1,1640,WN,OAK,SAN,446,N
8,21,7,733,DL,IAD,ATL,533,N
6,29,4,2055,AA,DFW,BNA,631,N
7,19,2,1838,NW,MSP,RDU,981,N
8,15,2,1700,EV,VLD,ATL,208,Y
2,5,7,2040,US,PHL,SFO,2521,Y
12,25,1,809,WN,PHL,HOU,1335,Y
10,21,6,1313,EV,MDW,ATL,590,N
12,19,1,1455,OH,CVG,ALB,623,N
4,20,3,1725,NW,TPA,DTW,983,N
6,14,2,1442,DL,AUS,CVG,958,N
12,5,1,1229,UA,DEN,LGA,1619,N
3,21,2,2125,WN,DAL,TUL,237,N
8,29,1,1920,XE,CLE,ABE,339,N
6,16,4,1120,WN,OAK,SNA,371,Y
11,22,3,709,WN,ELP,AUS,528,N
9,21,4,1140,WN,SAT,DAL,248,N
12,11,1,2352,UA,ORD,SFO,1846,Y
4,27,3,920,OH,RIC,CVG,413,N
5,21,7,949,NW,DTW,PVD,614,N
12,29,5,1500,NW,DTW,TPA,983,Y
1,19,4,2053,MQ,BOS,JFK,187,N
8,10,4,2115,MQ,DFW,AMA,313,Y
10,4,3,1152,CO,IAH,MCO,853,N
9,10,6,730,WN,OAK,SNA,371,N
8,24,3,1649,HP,BWI,PHX,1999,N
5,22,7,1456,MQ,DFW,LIT,304,N
12,19,1,727,XE,OKC,EWR,1325,N
8,20,7,616,MQ,MKE,ORD,67,N
9,19,2,1228,US,TPA,PIT,873,N
10,6,5,754,AS,SEA,ANC,1449,N
2,24,5,1010,US,PHX,IND,1489,N
1,11,2,1055,OH,SGF,CVG,491,Y
8,30,2,1931,DL,ATL,DTW,594,N
12,19,2,1647,OO,TYS,ORD,475,N
2,10,5,1557,CO,BWI,IAH,1235,N
8,28,7,1142,US,PHL,RDU,336,N
8,31,3,1625,AA,ORD,SEA,1721,N
4,5,2,1459,OO,CLE,DEN,1201,N
12,27,3,1110,OH,CVG,ROA,282,N
1,19,4,1743,DL,ATL,LEX,303,N
9,19,1,1430,OH,TPA,LEX,704,N
9,30,5,1905,WN,MAF,AUS,294,N
8,14,1,1603,AS,LAX,SEA,954,N
10,27,5,2202,MQ,ORD,GSP,577,Y
1,20,5,1927,US,CLT,ROC,573,N
7,4,2,1714,WN,LAS,ELP,584,N
10,27,5,956,AA,SAN,DFW,1171,N
6,2,4,654,DL,STL,ATL,483,N
8,2,3,1034,AA,SAT,DFW,247,N
7,31,1,45,DL,LAX,ATL,1946,Y
7,17,7,1047,WN,SMF,LAX,373,N
10,12,3,1724,UA,DEN,SMF,910,Y
3,10,5,727,AA,ORF,DFW,1213,N
12,28,3,943,EV,ATL,SAV,215,Y
11,17,4,1900,EV,CVG,TOL,181,Y
2,22,3,600,WN,PDX,OAK,543,N
5,3,3,1150,OH,CHO,CVG,342,N
12,27,2,2224,WN,SJC,ONT,333,Y
12,22,4,1101,EV,SHV,ATL,552,N
4,3,7,1644,UA,SFO,OGG,2338,N
5,24,3,1208,UA,SJC,DEN,948,Y
11,7,2,1418,DL,ATL,SAT,874,N
11,25,5,2022,AS,ANC,SEA,1449,N
6,15,3,1500,AA,DFW,DTW,987,N
8,1,2,1413,DL,ATL,CHS,259,N
5,27,5,1102,DL,DAB,ATL,366,N
4,4,2,1450,WN,CLE,LAS,1825,N
3,14,1,810,UA,EGE,DEN,121,N
3,5,6,1149,OO,DEN,FAT,844,N
5,28,7,1514,XE,EWR,MCI,1092,N
12,29,4,1941,AA,RSW,ORD,1120,N
5,27,5,2045,XE,CLE,MSN,402,N
9,7,3,1608,AA,MCO,BOS,1121,N
8,27,6,2023,HP,SFO,LAS,414,N
9,11,1,558,AS,ANC,SEA,1449,N
2,20,1,1652,XE,CLE,DFW,1021,N
4,20,3,2111,US,CLT,DCA,331,N
9,1,4,1827,OO,SLC,FCA,532,N
1,17,1,1714,DL,RDU,ATL,356,N
10,5,3,659,AA,IAH,DFW,224,N
5,10,3,1003,UA,ORD,OAK,1835,N
2,24,5,943,OO,BOI,SLC,291,N
8,16,3,558,AS,SEA,SJC,697,N
7,23,7,938,NW,PHL,DTW,453,N
5,19,5,1451,OO,SAN,SLC,626,N
12,8,5,724,US,IAD,PHX,1956,Y
10,22,7,2326,B6,JFK,CMH,483,Y
4,15,5,1146,DL,SNA,ATL,1919,N
8,23,3,1015,MQ,GSP,DFW,862,N
9,16,6,1741,MQ,TYS,ORD,475,N
5,20,5,1156,NW,GRR,DTW,120,N
8,22,2,1114,XE,EWR,RDU,416,N
8,28,1,1640,AA,MFE,DFW,468,N
1,16,7,1953,US,PHL,PIT,267,N
7,14,4,643,HP,LAX,PHX,370,N
12,21,3,655,XE,MCI,EWR,1092,N
9,18,1,1738,AA,BOS,DFW,1562,N
6,29,4,657,US,ELP,PHX,347,Y
9,8,5,1916,XE,IAH,GRR,1042,N
11,11,6,1036,AA,DFW,BUR,1231,N
12,28,3,1907,DL,SLC,SEA,689,N
3,20,7,1239,UA,LAS,ORD,1515,N
9,21,4,1302,HA,HNL,SFO,2398,N
10,10,1,2205,DL,ATL,SAN,1891,Y
10,24,1,1305,OO,BIS,DEN,517,N
1,25,2,1803,XE,JAN,IAH,351,N
9,23,6,1533,OH,CVG,AVL,275,Y
5,10,3,1031,MQ,SAN,SJC,417,N
1,7,5,1333,NW,EWR,MSP,1008,N
10,15,7,1446,OO,ORD,MKE,67,N
4,5,2,919,EV,CAK,CVG,214,N
2,10,5,606,US,FLL,PHL,992,N
2,17,5,1637,US,JAX,DCA,634,N
7,19,3,701,UA,GSO,ORD,590,N
8,31,3,1905,WN,DAL,LIT,296,Y
5,23,1,2055,OH,DTW,CVG,229,Y
1,27,4,855,US,PIT,PBI,952,N
9,9,6,1115,OH,BUF,CVG,410,N
5,17,2,1702,B6,TPA,JFK,1005,Y
12,24,6,706,F9,DEN,DFW,641,N
11,18,6,1426,NW,MSO,MSP,1013,Y
3,16,4,2027,US,PIT,PHL,267,N
3,22,2,1131,AA,MSY,ORD,837,N
1,27,5,700,MQ,BGR,BOS,201,N
2,15,3,1145,NW,BNA,MEM,200,N
5,20,6,1035,UA,LAX,MCO,2217,N
8,16,2,809,OO,SLC,RNO,422,N
5,12,5,1030,EV,ATL,MLU,448,N
1,28,6,638,WN,OKC,PHX,833,N
8,19,6,1450,XE,IND,CLE,261,N
11,24,4,1427,NW,IND,DTW,231,N
8,15,2,1615,WN,PHL,BDL,196,N
11,2,3,1008,MQ,DFW,JAN,408,N
11,13,1,746,FL,JAX,ATL,270,Y
11,9,3,1807,AA,DFW,ELP,551,N
7,27,4,1435,EV,OKC,SLC,866,N
1,9,7,1119,OO,IDA,SLC,188,N
12,14,3,659,AA,LAX,FLL,2342,N
1,17,2,1246,US,SNA,PHX,338,N
1,25,2,626,MQ,OKC,ORD,693,N
2,8,3,547,OO,CEC,ACV,56,N
2,8,3,1052,US,ATL,PHX,1587,N
4,15,6,1342,DL,PHX,ATL,1587,N
2,27,7,745,FL,DEN,ATL,1199,N
10,2,1,1640,DL,DEN,ATL,1199,N
9,10,7,704,FL,ICT,ATL,781,N
1,29,7,1432,XE,IAH,ELP,667,N
4,22,5,1438,DL,ATL,HOU,696,N
3,16,4,1135,NW,MCO,MSP,1310,Y
8,15,1,855,OH,LGA,CLT,544,Y
2,1,2,930,DL,EWR,CVG,569,N
8,7,1,1431,CO,MYR,EWR,550,N
1,24,2,604,DL,DCA,ATL,547,N
5,9,1,715,WN,CLE,STL,487,N
2,17,4,538,DL,MDW,ATL,590,N
6,6,2,1748,OO,PHX,LAX,370,N
12,30,6,1704,US,JAX,CLT,329,N
3,22,2,1112,MQ,ORD,RIC,642,N
9,29,4,1220,EV,ATL,CAK,528,N
3,18,5,1803,US,PIT,SAN,2106,N
4,9,7,706,UA,OAK,IAD,2408,N
7,29,6,1820,YV,PHX,OMA,1037,N
5,8,1,1002,YV,DEN,COS,72,N
5,19,5,1855,AS,SEA,PHX,1107,N
3,19,6,2017,OO,DEN,FAT,844,N
1,6,5,601,AS,SEA,LAX,954,N
5,7,7,1356,UA,BOI,DEN,649,Y
5,11,3,1344,F9,DEN,MCI,533,Y
4,28,4,1825,XE,ALB,CLE,424,N
4,27,4,1512,XE,LIT,IAH,374,N
5,16,2,849,XE,CLE,DAY,162,N
9,13,3,1959,CO,MIA,EWR,1086,N
7,26,2,904,OO,STL,DEN,770,N
11,25,5,1257,XE,IAH,LEX,828,N
6,5,7,1329,DL,LGA,DCA,214,N
7,27,4,1156,AQ,LIH,HNL,102,N
4,22,6,556,DL,MCO,ATL,403,N
8,5,6,1609,OO,PHX,LAX,370,N
4,30,7,1726,F9,DEN,LAX,862,Y
12,12,1,1059,AA,DFW,JFK,1391,N
10,5,3,634,F9,RNO,DEN,804,N
3,20,1,630,YV,SBP,PHX,509,N
6,14,2,1846,EV,AEX,ATL,500,N
8,14,7,2213,DL,BOS,ATL,946,Y
2,23,4,1507,DL,ATL,LAX,1946,Y
7,28,4,1650,UA,SFO,LAX,337,N
12,27,2,1909,EV,GNV,ATL,300,N
10,31,1,1420,WN,ONT,OAK,361,N
8,11,5,1128,DL,STL,CVG,307,N
1,25,2,1540,XE,DSM,IAH,802,N
7,7,4,2108,OH,RDU,MCO,534,Y
3,14,2,1308,YV,DRO,DEN,251,N
11,6,7,2059,AA,DFW,SAT,247,N
10,19,4,611,OO,TUS,SFO,751,N
12,23,6,719,NW,IAH,DTW,1076,N
5,5,5,713,DL,CMH,ATL,446,N
3,17,4,1851,UA,SFO,DFW,1464,N
11,2,4,1411,OO,LAX,SAN,109,N
4,11,2,710,WN,MCO,MCI,1072,N
12,18,7,1552,CO,MCO,CLE,895,N
4,9,7,2255,DL,SJC,ATL,2116,N
1,3,1,2338,HP,LAS,ATL,1747,Y
8,2,2,909,NW,DTW,GRB,288,N
8,29,1,1935,WN,CLE,MDW,307,N
6,26,7,1335,NW,MEM,MSP,700,N
7,16,6,1633,AA,ICT,DFW,328,N
2,26,6,2030,AA,MIA,DTW,1145,Y
9,8,5,1705,WN,LAS,SJC,386,Y
2,11,5,2128,DL,SAV,ATL,215,N
6,20,2,903,NW,MSP,DTW,528,N
10,22,6,730,XE,IAH,IND,845,N
11,13,1,1625,CO,PHX,IAH,1009,N
10,9,1,1544,US,LGA,PIT,335,N
10,16,7,1909,WN,OAK,PHX,646,Y
1,31,2,848,EV,OKC,SLC,866,N
8,30,3,1829,WN,HOU,CRP,187,N
11,18,6,1035,EV,ATL,MKE,669,Y
9,24,6,947,MQ,BOS,DCA,399,N
7,30,6,1228,DL,DCA,LGA,214,N
7,25,1,1843,AA,DFW,SAT,247,Y
6,5,1,1908,XE,EWR,RIC,278,N
4,5,3,830,DL,CVG,SEA,1964,N
2,27,1,1846,YV,IAD,BOS,413,N
5,10,2,1939,B6,IAD,SAN,2253,N
4,15,6,1131,EV,ATL,FNT,644,N
9,21,4,1948,MQ,SJC,SAN,417,N
3,8,3,1755,WN,TUL,DAL,237,N
4,21,5,1209,UA,SFO,SEA,679,Y
